beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,0,192,0,2018-06-13 11:38:22.909225,
False,0,192,0,2018-06-13 11:38:22.925873,
False,0,192,0,2018-06-13 11:38:22.942637,
False,0,192,0,2018-06-13 11:38:22.959154,
False,0,192,0,2018-06-13 11:38:22.975829,
False,0,192,0,2018-06-13 11:38:22.992472,
False,0,192,0,2018-06-13 11:38:23.009294,
False,0,192,0,2018-06-13 11:38:23.025822,
False,0,192,0,2018-06-13 11:38:23.042486,
False,0,192,0,2018-06-13 11:38:23.059153,
False,0,192,0,2018-06-13 11:38:23.075847,
False,0,192,0,2018-06-13 11:38:23.092467,
False,0,192,0,2018-06-13 11:38:23.109135,
False,0,192,0,2018-06-13 11:38:23.125817,
False,0,192,0,2018-06-13 11:38:23.142471,
False,0,192,0,2018-06-13 11:38:23.159142,
False,0,192,0,2018-06-13 11:38:23.175788,
False,0,192,0,2018-06-13 11:38:23.192487,
False,0,192,0,2018-06-13 11:38:23.209143,
False,0,192,0,2018-06-13 11:38:23.225835,
False,0,192,0,2018-06-13 11:38:23.242506,
False,0,192,0,2018-06-13 11:38:23.259199,
False,0,192,0,2018-06-13 11:38:23.275817,
False,0,192,0,2018-06-13 11:38:23.292482,
False,0,192,0,2018-06-13 11:38:23.309168,
False,0,192,0,2018-06-13 11:38:23.325794,
False,0,192,0,2018-06-13 11:38:23.342481,
False,0,192,0,2018-06-13 11:38:23.359153,
False,0,192,0,2018-06-13 11:38:23.375810,
False,0,192,0,2018-06-13 11:38:23.392536,
False,0,192,0,2018-06-13 11:38:23.409157,
False,0,192,0,2018-06-13 11:38:23.425842,
False,0,192,0,2018-06-13 11:38:23.442486,
False,0,192,0,2018-06-13 11:38:23.459154,
False,0,192,0,2018-06-13 11:38:23.475804,
False,0,192,0,2018-06-13 11:38:23.492481,
False,0,192,0,2018-06-13 11:38:23.509132,
False,0,192,0,2018-06-13 11:38:23.525802,
False,0,192,0,2018-06-13 11:38:23.542486,
