beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,0,167,0,2018-06-13 11:39:58.182996,
False,0,167,0,2018-06-13 11:39:58.195040,
False,0,167,0,2018-06-13 11:39:58.211692,
False,0,167,0,2018-06-13 11:39:58.228464,
False,0,167,0,2018-06-13 11:39:58.245002,
False,0,167,0,2018-06-13 11:39:58.261706,
False,0,168,0,2018-06-13 11:39:58.278379,
False,0,168,0,2018-06-13 11:39:58.295034,
False,0,168,0,2018-06-13 11:39:58.311639,
False,0,168,0,2018-06-13 11:39:58.328320,
False,0,168,0,2018-06-13 11:39:58.344991,
False,0,169,0,2018-06-13 11:39:58.361748,
False,0,169,0,2018-06-13 11:39:58.378356,
False,0,169,0,2018-06-13 11:39:58.395003,
False,0,169,0,2018-06-13 11:39:58.411657,
False,0,169,0,2018-06-13 11:39:58.428311,
False,0,169,0,2018-06-13 11:39:58.445012,
False,0,169,0,2018-06-13 11:39:58.461659,
False,0,169,0,2018-06-13 11:39:58.478311,
False,0,169,0,2018-06-13 11:39:58.495014,
False,0,169,0,2018-06-13 11:39:58.511671,
False,0,169,0,2018-06-13 11:39:58.528382,
False,0,169,0,2018-06-13 11:39:58.545009,
False,0,169,0,2018-06-13 11:39:58.561639,
False,0,169,0,2018-06-13 11:39:58.578310,
False,0,169,0,2018-06-13 11:39:58.595007,
False,0,169,0,2018-06-13 11:39:58.611629,
False,0,170,0,2018-06-13 11:39:58.628316,
False,0,170,0,2018-06-13 11:39:58.645031,
False,0,171,0,2018-06-13 11:39:58.661640,
False,0,172,0,2018-06-13 11:39:58.678313,
False,0,172,0,2018-06-13 11:39:58.695003,
False,0,173,0,2018-06-13 11:39:58.711645,
False,0,174,0,2018-06-13 11:39:58.728356,
False,0,174,0,2018-06-13 11:39:58.745027,
False,0,174,0,2018-06-13 11:39:58.761684,
False,0,175,0,2018-06-13 11:39:58.778366,
False,0,175,0,2018-06-13 11:39:58.795004,
False,0,175,0,2018-06-13 11:39:58.811644,
False,0,175,0,2018-06-13 11:39:58.828347,
False,0,175,0,2018-06-13 11:39:58.845026,
False,0,175,0,2018-06-13 11:39:58.861659,
False,0,174,0,2018-06-13 11:39:58.878323,
False,0,174,0,2018-06-13 11:39:58.895022,
False,0,174,0,2018-06-13 11:39:58.911640,
False,0,174,0,2018-06-13 11:39:58.928299,
False,0,174,0,2018-06-13 11:39:58.945025,
False,0,174,0,2018-06-13 11:39:58.961659,
False,0,174,0,2018-06-13 11:39:58.978291,
False,0,173,0,2018-06-13 11:39:58.995016,
False,0,173,0,2018-06-13 11:39:59.011691,
False,0,173,0,2018-06-13 11:39:59.028321,
False,0,172,0,2018-06-13 11:39:59.045011,
False,0,172,0,2018-06-13 11:39:59.061682,
False,0,176,0,2018-06-13 11:39:59.078319,
False,0,175,0,2018-06-13 11:39:59.095021,
False,0,175,0,2018-06-13 11:39:59.111635,
False,0,174,0,2018-06-13 11:39:59.128293,
False,0,174,0,2018-06-13 11:39:59.145012,
False,0,173,0,2018-06-13 11:39:59.161625,
False,0,173,0,2018-06-13 11:39:59.178302,
False,0,173,0,2018-06-13 11:39:59.195038,
False,0,172,0,2018-06-13 11:39:59.211632,
False,0,172,0,2018-06-13 11:39:59.228297,
False,0,171,0,2018-06-13 11:39:59.245068,
False,0,171,0,2018-06-13 11:39:59.261651,
False,0,170,0,2018-06-13 11:39:59.278293,
False,0,169,0,2018-06-13 11:39:59.295057,
False,0,168,0,2018-06-13 11:39:59.311628,
False,0,168,0,2018-06-13 11:39:59.328305,
False,0,168,0,2018-06-13 11:39:59.345017,
False,0,168,0,2018-06-13 11:39:59.361655,
False,0,168,0,2018-06-13 11:39:59.378294,
False,0,168,0,2018-06-13 11:39:59.394976,
False,0,169,0,2018-06-13 11:39:59.411667,
False,0,170,0,2018-06-13 11:39:59.428363,
False,0,171,0,2018-06-13 11:39:59.444994,
False,0,171,0,2018-06-13 11:39:59.461639,
False,0,172,0,2018-06-13 11:39:59.478304,
False,0,172,0,2018-06-13 11:39:59.494958,
False,0,172,0,2018-06-13 11:39:59.511627,
False,0,171,0,2018-06-13 11:39:59.528294,
False,0,171,0,2018-06-13 11:39:59.544955,
False,0,171,0,2018-06-13 11:39:59.561650,
False,0,170,0,2018-06-13 11:39:59.578288,
False,0,170,0,2018-06-13 11:39:59.594949,
False,0,170,0,2018-06-13 11:39:59.611625,
False,0,169,0,2018-06-13 11:39:59.628287,
False,0,169,0,2018-06-13 11:39:59.644980,
False,0,168,0,2018-06-13 11:39:59.661629,
False,0,168,0,2018-06-13 11:39:59.678303,
False,0,168,0,2018-06-13 11:39:59.694949,
False,0,168,0,2018-06-13 11:39:59.711609,
False,0,168,0,2018-06-13 11:39:59.728358,
False,0,167,0,2018-06-13 11:39:59.744973,
False,0,167,0,2018-06-13 11:39:59.761628,
False,0,167,0,2018-06-13 11:39:59.778307,
False,0,166,0,2018-06-13 11:39:59.794957,
False,0,165,0,2018-06-13 11:39:59.811629,
False,0,164,0,2018-06-13 11:39:59.828331,
False,0,164,0,2018-06-13 11:39:59.844971,
False,0,163,0,2018-06-13 11:39:59.861622,
False,0,163,0,2018-06-13 11:39:59.878336,
False,0,162,0,2018-06-13 11:39:59.894961,
False,0,162,0,2018-06-13 11:39:59.911615,
False,0,162,0,2018-06-13 11:39:59.928291,
False,0,162,0,2018-06-13 11:39:59.944963,
False,0,162,0,2018-06-13 11:39:59.961647,
False,0,162,0,2018-06-13 11:39:59.978276,
False,0,163,0,2018-06-13 11:39:59.994967,
False,0,163,0,2018-06-13 11:40:00.011635,
False,0,163,0,2018-06-13 11:40:00.028315,
False,0,164,0,2018-06-13 11:40:00.044964,
False,0,164,0,2018-06-13 11:40:00.061615,
False,0,164,0,2018-06-13 11:40:00.078270,
False,0,164,0,2018-06-13 11:40:00.094967,
False,0,165,0,2018-06-13 11:40:00.111624,
False,0,165,0,2018-06-13 11:40:00.128280,
False,0,165,0,2018-06-13 11:40:00.144970,
False,0,165,0,2018-06-13 11:40:00.161648,
False,0,165,0,2018-06-13 11:40:00.178278,
False,0,166,0,2018-06-13 11:40:00.194969,
False,0,166,0,2018-06-13 11:40:00.211644,
False,0,167,0,2018-06-13 11:40:00.228314,
False,0,168,0,2018-06-13 11:40:00.244975,
False,0,168,0,2018-06-13 11:40:00.261610,
False,0,168,0,2018-06-13 11:40:00.278290,
False,0,168,0,2018-06-13 11:40:00.294963,
False,0,168,0,2018-06-13 11:40:00.311630,
False,0,168,0,2018-06-13 11:40:00.328290,
False,0,168,0,2018-06-13 11:40:00.344942,
False,0,168,0,2018-06-13 11:40:00.361607,
False,0,168,0,2018-06-13 11:40:00.378298,
False,0,168,0,2018-06-13 11:40:00.394969,
False,0,168,0,2018-06-13 11:40:00.411606,
False,0,168,0,2018-06-13 11:40:00.428310,
False,0,167,0,2018-06-13 11:40:00.444946,
False,0,167,0,2018-06-13 11:40:00.461688,
False,0,167,0,2018-06-13 11:40:00.478295,
False,0,167,0,2018-06-13 11:40:00.494938,
False,0,167,0,2018-06-13 11:40:00.511604,
False,0,167,0,2018-06-13 11:40:00.528296,
False,0,167,0,2018-06-13 11:40:00.544951,
False,0,167,0,2018-06-13 11:40:00.561615,
False,0,168,0,2018-06-13 11:40:00.578282,
False,0,168,0,2018-06-13 11:40:00.594942,
False,0,168,0,2018-06-13 11:40:00.611613,
False,0,168,0,2018-06-13 11:40:00.628264,
False,0,168,0,2018-06-13 11:40:00.644936,
False,0,168,0,2018-06-13 11:40:00.661608,
False,0,168,0,2018-06-13 11:40:00.678297,
False,0,168,0,2018-06-13 11:40:00.694942,
False,0,168,0,2018-06-13 11:40:00.711625,
False,0,168,0,2018-06-13 11:40:00.728303,
False,0,167,0,2018-06-13 11:40:00.744935,
False,0,167,0,2018-06-13 11:40:00.761624,
False,0,167,0,2018-06-13 11:40:00.778295,
False,0,167,0,2018-06-13 11:40:00.794929,
False,0,166,0,2018-06-13 11:40:00.811625,
False,0,166,0,2018-06-13 11:40:00.828257,
False,0,166,0,2018-06-13 11:40:00.844938,
