beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,0,192,0,2018-06-13 11:41:15.452681,
False,0,192,0,2018-06-13 11:41:15.468640,
False,0,192,0,2018-06-13 11:41:15.485374,
False,0,192,0,2018-06-13 11:41:15.501961,
False,0,192,0,2018-06-13 11:41:15.518623,
False,0,192,0,2018-06-13 11:41:15.535323,
False,0,192,0,2018-06-13 11:41:15.551954,
False,0,192,0,2018-06-13 11:41:15.568620,
False,0,192,0,2018-06-13 11:41:15.585298,
False,0,192,0,2018-06-13 11:41:15.601945,
False,0,192,0,2018-06-13 11:41:15.618678,
False,0,192,0,2018-06-13 11:41:15.635279,
False,0,192,0,2018-06-13 11:41:15.651968,
False,0,192,0,2018-06-13 11:41:15.668626,
False,0,192,0,2018-06-13 11:41:15.685278,
False,0,192,0,2018-06-13 11:41:15.701959,
False,0,192,0,2018-06-13 11:41:15.718640,
False,0,192,0,2018-06-13 11:41:15.735282,
False,0,192,0,2018-06-13 11:41:15.751963,
False,0,192,0,2018-06-13 11:41:15.768617,
False,0,192,0,2018-06-13 11:41:15.785279,
False,0,192,0,2018-06-13 11:41:15.801971,
False,0,192,0,2018-06-13 11:41:15.818667,
False,0,192,0,2018-06-13 11:41:15.835334,
False,0,192,0,2018-06-13 11:41:15.851996,
False,0,192,0,2018-06-13 11:41:15.868633,
False,0,192,0,2018-06-13 11:41:15.885302,
False,0,192,0,2018-06-13 11:41:15.901964,
False,0,192,0,2018-06-13 11:41:15.918611,
False,0,192,0,2018-06-13 11:41:15.935277,
False,0,192,0,2018-06-13 11:41:15.951963,
False,0,192,0,2018-06-13 11:41:15.968621,
False,0,192,0,2018-06-13 11:41:15.985291,
False,0,192,0,2018-06-13 11:41:16.001958,
False,0,192,0,2018-06-13 11:41:16.018650,
False,0,192,0,2018-06-13 11:41:16.035313,
False,0,192,0,2018-06-13 11:41:16.051963,
False,0,192,0,2018-06-13 11:41:16.068608,
False,0,192,0,2018-06-13 11:41:16.085297,
False,0,192,0,2018-06-13 11:41:16.102003,
False,0,192,0,2018-06-13 11:41:16.118595,
False,0,192,0,2018-06-13 11:41:16.135292,
False,0,192,0,2018-06-13 11:41:16.151944,
False,0,192,0,2018-06-13 11:41:16.168635,
False,0,192,0,2018-06-13 11:41:16.185287,
False,0,192,0,2018-06-13 11:41:16.201970,
False,0,192,0,2018-06-13 11:41:16.218609,
False,0,192,0,2018-06-13 11:41:16.235269,
False,0,192,0,2018-06-13 11:41:16.251944,
False,0,192,0,2018-06-13 11:41:16.268628,
False,0,192,0,2018-06-13 11:41:16.285298,
False,0,192,0,2018-06-13 11:41:16.301985,
False,0,192,0,2018-06-13 11:41:16.318616,
False,0,192,0,2018-06-13 11:41:16.335250,
False,0,192,0,2018-06-13 11:41:16.351987,
False,0,192,0,2018-06-13 11:41:16.368626,
False,0,192,0,2018-06-13 11:41:16.385293,
False,0,192,0,2018-06-13 11:41:16.401951,
False,0,192,0,2018-06-13 11:41:16.418609,
False,0,192,0,2018-06-13 11:41:16.435308,
False,0,192,0,2018-06-13 11:41:16.451984,
False,0,192,0,2018-06-13 11:41:16.468611,
False,0,192,0,2018-06-13 11:41:16.485284,
False,0,192,0,2018-06-13 11:41:16.501956,
False,0,192,0,2018-06-13 11:41:16.518604,
False,0,192,0,2018-06-13 11:41:16.535329,
False,0,192,0,2018-06-13 11:41:16.551927,
False,0,192,0,2018-06-13 11:41:16.568605,
False,0,192,0,2018-06-13 11:41:16.585267,
False,0,192,0,2018-06-13 11:41:16.601928,
False,0,192,0,2018-06-13 11:41:16.618592,
False,0,192,0,2018-06-13 11:41:16.635293,
False,0,192,0,2018-06-13 11:41:16.651933,
False,0,192,0,2018-06-13 11:41:16.668610,
False,0,192,0,2018-06-13 11:41:16.685284,
False,0,192,0,2018-06-13 11:41:16.701930,
False,0,192,0,2018-06-13 11:41:16.718597,
False,0,192,0,2018-06-13 11:41:16.735282,
False,0,192,0,2018-06-13 11:41:16.751948,
False,0,192,0,2018-06-13 11:41:16.768610,
False,0,192,0,2018-06-13 11:41:16.785275,
False,0,192,0,2018-06-13 11:41:16.801930,
False,0,192,0,2018-06-13 11:41:16.818638,
False,0,192,0,2018-06-13 11:41:16.835256,
False,0,192,0,2018-06-13 11:41:16.851924,
False,0,192,0,2018-06-13 11:41:16.868603,
False,0,192,0,2018-06-13 11:41:16.885260,
False,0,192,0,2018-06-13 11:41:16.901947,
False,0,192,0,2018-06-13 11:41:16.918624,
False,0,192,0,2018-06-13 11:41:16.935267,
False,0,192,0,2018-06-13 11:41:16.951934,
False,0,192,0,2018-06-13 11:41:16.968640,
False,0,192,0,2018-06-13 11:41:16.985293,
False,0,192,0,2018-06-13 11:41:17.001946,
False,0,192,0,2018-06-13 11:41:17.018647,
False,0,192,0,2018-06-13 11:41:17.035289,
False,0,192,0,2018-06-13 11:41:17.051937,
False,0,192,0,2018-06-13 11:41:17.068585,
False,0,192,0,2018-06-13 11:41:17.085269,
False,0,192,0,2018-06-13 11:41:17.101944,
False,0,192,0,2018-06-13 11:41:17.118596,
False,0,192,0,2018-06-13 11:41:17.135255,
False,0,192,0,2018-06-13 11:41:17.151941,
False,0,192,0,2018-06-13 11:41:17.168604,
False,0,192,0,2018-06-13 11:41:17.185266,
False,0,192,0,2018-06-13 11:41:17.201905,
False,0,192,0,2018-06-13 11:41:17.218586,
False,0,192,0,2018-06-13 11:41:17.235280,
False,0,192,0,2018-06-13 11:41:17.251904,
False,0,192,0,2018-06-13 11:41:17.268847,
False,0,192,0,2018-06-13 11:41:17.285303,
False,0,192,0,2018-06-13 11:41:17.301934,
False,0,192,0,2018-06-13 11:41:17.318580,
False,0,192,0,2018-06-13 11:41:17.335238,
False,0,192,0,2018-06-13 11:41:17.351954,
False,0,192,0,2018-06-13 11:41:17.368624,
False,0,192,0,2018-06-13 11:41:17.385247,
False,0,192,0,2018-06-13 11:41:17.401947,
False,0,192,0,2018-06-13 11:41:17.418595,
False,0,192,0,2018-06-13 11:41:17.435241,
False,0,192,0,2018-06-13 11:41:17.451927,
False,0,192,0,2018-06-13 11:41:17.468634,
False,0,192,0,2018-06-13 11:41:17.485250,
False,0,192,0,2018-06-13 11:41:17.501923,
False,0,192,0,2018-06-13 11:41:17.518613,
False,0,192,0,2018-06-13 11:41:17.535257,
False,0,192,0,2018-06-13 11:41:17.551942,
False,0,192,0,2018-06-13 11:41:17.568574,
False,0,192,0,2018-06-13 11:41:17.585246,
False,0,192,0,2018-06-13 11:41:17.601939,
False,0,192,0,2018-06-13 11:41:17.618578,
False,0,192,0,2018-06-13 11:41:17.635244,
False,0,192,0,2018-06-13 11:41:17.651924,
False,0,192,0,2018-06-13 11:41:17.668628,
False,0,192,0,2018-06-13 11:41:17.685250,
False,0,192,0,2018-06-13 11:41:17.701949,
False,0,192,0,2018-06-13 11:41:17.718582,
False,0,192,0,2018-06-13 11:41:17.735282,
False,0,192,0,2018-06-13 11:41:17.751920,
False,0,192,0,2018-06-13 11:41:17.768596,
False,0,192,0,2018-06-13 11:41:17.785262,
False,0,192,0,2018-06-13 11:41:17.801906,
False,0,192,0,2018-06-13 11:41:17.818585,
False,0,192,0,2018-06-13 11:41:17.835252,
False,0,192,0,2018-06-13 11:41:17.851906,
False,0,192,0,2018-06-13 11:41:17.868585,
False,0,192,0,2018-06-13 11:41:17.885287,
False,0,192,0,2018-06-13 11:41:17.901963,
False,0,192,0,2018-06-13 11:41:17.918575,
False,0,192,0,2018-06-13 11:41:17.935259,
False,0,192,0,2018-06-13 11:41:17.951905,
False,0,192,0,2018-06-13 11:41:17.968645,
